"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C15","CAP_PC_8X12_NCH","53mm","14.8mm","53mm","14.8mm","53mm","18.2mm","T","270.00","CAP ALUM POLY 82UF 20% 35V SMD"
"C16","0805C","61.2mm","15.8mm","61.2mm","15.8mm","60.2mm","15.8mm","T","360.00","CAP CER 22UF 35V X5R 0805"
"C28","0603C","28.25mm","17.6mm","28.25mm","17.6mm","29mm","17.6mm","T","180.00","CAP CER 0.1UF 100V X7R 0603"
"C17","1206_-_NP","60.5mm","18.2mm","60.5mm","18.2mm","62.2mm","18.2mm","T","180.00","CAP CER 47UF 25V X5R 1206"
"C18","1206_-_NP","60.5mm","21mm","60.5mm","21mm","62.2mm","21mm","T","180.00","CAP CER 47UF 25V X5R 1206"
"C19","0603C","70.7mm","21mm","70.7mm","21mm","70.7mm","21.75mm","T","270.00","CAP CER 0.1UF 100V X7R 0603"
"C20","0805C","72.5mm","32mm","72.5mm","32mm","73.5mm","32mm","T","180.00","CAP CER 100PF 50V C0G/NP0 0805"
"C21","0603C","58.2mm","24.425mm","58.2mm","24.425mm","58.2mm","23.675mm","T","90.00","CAP CER 0.1UF 100V X7R 0603"
"C22","0603C","72mm","26mm","72mm","26mm","72.75mm","26mm","T","180.00","CAP CER 270PF 50V X7R 0603"
"C23","0603C","54.1mm","30.7mm","54.1mm","30.7mm","53.35mm","30.7mm","T","360.00","CAP CER 1UF 50V X7R 0603"
"C24","0603C","58.2mm","29.625mm","58.2mm","29.625mm","58.2mm","30.375mm","T","270.00","CAP CER 0.1UF 100V X7R 0603"
"C25","0603C","58.2mm","34mm","58.2mm","34mm","58.2mm","33.25mm","T","90.00","CAP CER 47PF 50V X7R 10% 0603"
"C29","1206_-_NP","34.6mm","29.5mm","34.6mm","29.5mm","34.6mm","31.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C30","0603C","43mm","18.4mm","43mm","18.4mm","43.75mm","18.4mm","T","180.00","CAP CER 0.015UF 50V X7R 0603"
"C31","0402C","42.5mm","19.8mm","42.5mm","19.8mm","43mm","19.8mm","T","180.00","CAP CER 10000PF 50V X7R 0402"
"C32","CAP_PC_8X12_NCH","26.9mm","5mm","26.9mm","5mm","23.5mm","5mm","T","360.00","CAP ALUM POLY 82UF 20% 35V SMD"
"C33","0805C","33.5mm","8.2mm","33.5mm","8.2mm","32.5mm","8.2mm","T","360.00","CAP CER 22UF 35V X5R 0805"
"C34","0805C","33.5mm","10.2mm","33.5mm","10.2mm","32.5mm","10.2mm","T","360.00","CAP CER 10UF 50V X5R 0805"
"C35","0805C","33.5mm","12.2mm","33.5mm","12.2mm","32.5mm","12.2mm","T","360.00","CAP CER 10UF 50V X5R 0805"
"C36","0603C","41.7mm","12mm","41.7mm","12mm","41.7mm","12.75mm","T","270.00","CAP CER 0.1UF 100V X7R 0603"
"C37","0805C","43.4mm","21.6mm","43.4mm","21.6mm","44.4mm","21.6mm","T","180.00","CAP CER 330PF 50V C0G/NPO 0805"
"C38","0603C","29mm","15.425mm","29mm","15.425mm","29mm","14.675mm","T","90.00","CAP CER 0.1UF 100V X7R 0603"
"C39","0603C","43mm","17mm","43mm","17mm","43.75mm","17mm","T","180.00","CAP CER 82PF 50V C0G/NPO 0603"
"C40","0603C","25mm","21.8mm","25mm","21.8mm","24.25mm","21.8mm","T","360.00","CAP CER 1UF 50V X7R 0603"
"C41","0603C","29mm","20.625mm","29mm","20.625mm","29mm","21.375mm","T","270.00","CAP CER 0.1UF 100V X7R 0603"
"C42","0603C","29mm","24.95mm","29mm","24.95mm","29mm","24.2mm","T","90.00","CAP CER 47PF 50V X7R 10% 0603"
"C50","0402C","6mm","21mm","6mm","21mm","5.5mm","21mm","T","360.00","CAP CER 0.033UF 10V X7R 0402"
"D1","DO-214AB-SHKY","78mm","12.7mm","78mm","12.7mm","81.45mm","12.7mm","T","180.00","DIODE SCHOTTKY 50V 5A SMC"
"D2","DO-214AC","72.5mm","8mm","72.5mm","8mm","70.5mm","8mm","T","360.00","TVS DIODE 20VWM 32.4VC DO214AC"
"D5","DO-214AB-SHKY","68.3mm","16mm","68.3mm","16mm","71.75mm","16mm","T","180.00","DIODE SCHOTTKY 50V 5A SMC"
"D6","SOD123F-SHKY","55mm","24.8mm","55mm","24.8mm","56.65mm","24.8mm","T","180.00","DIODE SCHOTTKY 60V 2A SOD123F"
"D7","SOD123F-SHKY","55mm","28.875mm","55mm","28.875mm","56.65mm","28.875mm","T","180.00","DIODE SCHOTTKY 60V 2A SOD123F"
"D3","DO-214AB-SHKY","96.5mm","20.5mm","96.5mm","20.5mm","96.5mm","23.95mm","T","270.00","DIODE SCHOTTKY 50V 5A SMC"
"D4","DO-214AC","96.5mm","12mm","96.5mm","12mm","96.5mm","10mm","T","90.00","TVS DIODE 20VWM 32.4VC DO214AC"
"FB3","0805F","14mm","36.95mm","14mm","36.95mm","13mm","36.95mm","T","360.00","FERRITE BEAD 120 OHM 0805 1LN"
"FB2","0805F","37.9mm","31.2mm","37.9mm","31.2mm","36.9mm","31.2mm","T","360.00","FERRITE BEAD 120 OHM 0805 1LN"
"FB1","0805F","72.7mm","40.2mm","72.7mm","40.2mm","73.7mm","40.2mm","T","180.00","FERRITE BEAD 120 OHM 0805 1LN"
"J6","Header3.5","75mm","46.4mm","75mm","46.4mm","76.75mm","46.4mm","T","180.00","EURO BLOCK 2P"
"J7","PJ-050BH","85.2mm","41.6mm","85.2mm","41.6mm","87.6mm","36.5mm","T","270.00","CONN PWR JACK 2.5X5.5MM SOLDER"
"J8","HEADER-9P_2.54MM","56.5mm","2.5mm","56.5mm","2.5mm","66.66mm","2.5mm","T","270.00","HEADER 1x9"
"J5","Header3.5","65mm","46.4mm","65mm","46.4mm","66.75mm","46.4mm","T","180.00","EURO BLOCK 2P"
"J9","JST_B4B-XH-A","75mm","2.475mm","75mm","3mm","78.75mm","2.475mm","T","360.00","CONN HEADER VERT 4POS 2.5MM"
"J1","JST_B4B-PH-SM4-TB","17.5mm","46.375mm","17.5mm","47.5mm","14.5mm","45.25mm","T","360.00","CONN HEADER SMD 4POS 2MM"
"J4","Header3.5","55mm","46.4mm","55mm","46.4mm","56.75mm","46.4mm","T","180.00","EURO BLOCK 2P"
"J10","PJ-050BH","90mm","8.4mm","90mm","8.4mm","87.6mm","13.5mm","T","90.00","CONN PWR JACK 2.5X5.5MM SOLDER"
"J3","Header3.5","45mm","46.4mm","45mm","46.4mm","46.75mm","46.4mm","T","180.00","EURO BLOCK 2P"
"J2","BM06B-SRSS-TB_JST","32.5mm","47.4327mm","32.5mm","48mm","35mm","46.1702mm","T","180.00","CONN HEADER SMD 6POS 1MM"
"L2","IND_BOURNS_SRP5030","17mm","19mm","17mm","19mm","17mm","17.375mm","T","180.00","FIXED IND 2.2UH 9.7A 14.5MOHM SM"
"L1","IND_8070-WE","44mm","28mm","44mm","28mm","44mm","24.6mm","T","90.00","FIXED IND 3.3UH 14A 8.2 MOHM SMD"
"L3","IND_BOURNS_SRR1208","8.5mm","28.9mm","8.5mm","28.9mm","13.5mm","28.9mm","T","180.00","FIXED IND 10UH 5A 21 MOHM SMD"
"Q1","CSD17571Q2","53.5mm","21.8mm","53.5mm","21.8mm","54.4225mm","21.15mm","T","180.00","MOSFET N-CH 30V 22A 6SON"
"Q2","CSD17571Q2","48.4mm","41mm","48.4mm","41mm","49.05mm","41.9225mm","T","270.00","MOSFET N-CH 30V 22A 6SON"
"Q4","CSD17571Q2","50.8mm","23.3mm","50.8mm","23.3mm","51.7225mm","22.65mm","T","180.00","MOSFET N-CH 100V 14.4A 6WSON"
"Q3","SON127P500X600","47mm","36.5mm","47mm","36.5mm","49.75mm","34.595mm","T","180.00","MOSFET N-CH 60V 50A 8VSON"
"R14","0603","37.5mm","12mm","37.5mm","12mm","37.5mm","11.25mm","T","90.00","RS2K-0.1W0603"
